user_id,email,username,country,signup_at,birth_year,preferred_genres,device_type,is_active,deleted_at
U0063,user63@example.com,reader_0063,ES,2023-10-04,1984,Biography|Fiction|Thriller,tablet,True,
U0064,user64@example.com,reader_0064,FR,2020-07-31,1971,Sci-Fi|Self-Help,tablet,True,
U0065,user65@example.com,reader_0065,ES,2024-09-27,1979,Thriller,e-reader,True,
U0066,user66@example.com,reader_0066,SE,2024-09-26,1982,Horror,mobile,True,
U0067,user67@example.com,reader_0067,DE,2021-01-04,1974,Fantasy|Horror|Fiction,e-reader,True,
U0068,user68@example.com,reader_0068,IN,2020-05-22,1998,Mystery,desktop,True,
U0069,user69@example.com,reader_0069,IN,2022-02-09,1985,Sci-Fi|Fantasy|Thriller,mobile,True,
U0070,user70@example.com,reader_0070,JP,2024-12-14,1993,Mystery,e-reader,False,2025-02-02
U0071,user71@example.com,reader_0071,CA,2022-09-21,1972,Thriller|Romance|Mystery|Sci-Fi,tablet,True,
U0072,user72@example.com,reader_0072,CA,2023-10-20,2003,History|Thriller|Fiction|Mystery,mobile,True,
U0073,user73@example.com,reader_0073,JP,2020-01-16,1985,Sci-Fi|Thriller,mobile,True,
U0074,user74@example.com,reader_0074,IN,2020-01-16,1979,Sci-Fi|Horror|Biography|Thriller,tablet,True,
U0075,user75@example.com,reader_0075,US,2020-05-27,1994,Biography,mobile,True,
U0076,user76@example.com,reader_0076,GB,2024-10-31,1990,Horror|Biography|History|Sci-Fi,mobile,True,
U0077,user77@example.com,reader_0077,GB,2021-10-27,1980,Fantasy|Mystery|Biography|Self-Help,e-reader,True,
U0078,user78@example.com,reader_0078,NL,2023-04-21,1984,Biography,tablet,True,
U0079,user79@example.com,reader_0079,MX,2021-03-29,1972,Mystery|History,desktop,True,
U0080,user80@example.com,reader_0080,DE,2025-01-29,1981,Sci-Fi|Romance|Mystery,desktop,True,
U0081,user81@example.com,reader_0081,PL,2020-12-21,2005,Sci-Fi,e-reader,True,
U0082,user82@example.com,reader_0082,AU,2022-08-08,1969,Horror|Fantasy|History|Mystery,e-reader,True,
U0083,user83@example.com,reader_0083,IT,2022-06-24,1969,Horror|Fiction|Fantasy,tablet,True,
U0084,user84@example.com,reader_0084,NL,2022-08-03,1983,Fantasy,mobile,True,
U0085,user85@example.com,reader_0085,ES,2023-08-13,1997,Horror,e-reader,True,
U0086,user86@example.com,reader_0086,SE,2022-08-05,2001,Self-Help,desktop,True,
U0087,user87@example.com,reader_0087,GB,2021-10-20,1986,Fiction|Self-Help,mobile,True,
U0088,user88@example.com,reader_0088,IN,2022-10-30,1993,Romance,e-reader,True,
U0089,user89@example.com,reader_0089,SE,2022-12-09,1983,Fantasy|Horror,e-reader,True,
U0090,user90@example.com,reader_0090,GB,2022-04-17,1986,Fantasy,mobile,True,
U0091,user91@example.com,reader_0091,GB,2023-02-16,2002,Thriller|Sci-Fi|Fantasy,desktop,True,
U0092,user92@example.com,reader_0092,CA,2025-02-20,1986,Sci-Fi|Mystery|Thriller|Self-Help,desktop,True,
U0093,user93@example.com,reader_0093,IT,2023-10-04,1988,Biography,mobile,True,
U0094,user94@example.com,reader_0094,FR,2022-01-12,1979,Fantasy|Self-Help,desktop,True,
U0095,user95@example.com,reader_0095,SE,2020-11-13,2004,Fantasy,desktop,False,2021-07-08
U0096,user96@example.com,reader_0096,IN,2023-05-08,1993,Sci-Fi|Horror,mobile,True,
U0097,user97@example.com,reader_0097,PL,2022-04-21,1993,Self-Help|Thriller,desktop,True,
U0098,user98@example.com,reader_0098,PL,2022-12-29,1983,Romance|Fantasy|Self-Help|Horror,e-reader,True,
U0099,user99@example.com,reader_0099,NL,2022-10-26,1981,Romance|Sci-Fi,mobile,True,
U0100,user100@example.com,reader_0100,JP,2023-08-06,1970,History|Mystery|Horror,desktop,True,
U0101,user101@example.com,reader_0101,SE,2021-07-12,1979,Biography|Mystery,e-reader,True,
U0102,user102@example.com,reader_0102,US,2024-12-16,1990,Biography,tablet,True,
U0103,user103@example.com,reader_0103,FR,2021-04-27,1966,Fantasy,tablet,True,
U0104,user104@example.com,reader_0104,JP,2020-07-21,1995,Sci-Fi|Horror|Fiction,desktop,True,
U0105,user105@example.com,reader_0105,JP,2024-04-03,1978,Horror|Fiction|Mystery|History,desktop,True,
U0106,user106@example.com,reader_0106,GB,2023-01-28,1968,Mystery|Thriller|Romance|Sci-Fi,desktop,True,
U0107,user107@example.com,reader_0107,IT,2022-05-09,1966,Mystery|Horror|Self-Help|Thriller,desktop,True,
U0108,user108@example.com,reader_0108,CA,2024-01-11,1976,Fiction|Fantasy|Romance|Thriller,mobile,True,
U0109,user109@example.com,reader_0109,IT,2022-12-08,1997,History,mobile,True,
U0110,user110@example.com,reader_0110,BR,2022-03-10,1981,Biography,mobile,True,
U0111,user111@example.com,reader_0111,DE,2022-01-01,1967,Romance|Mystery|Fantasy,tablet,True,
U0112,user112@example.com,reader_0112,MX,2023-01-23,1976,Self-Help|Horror,desktop,True,
U0113,user113@example.com,reader_0113,PL,2020-05-09,1977,Fiction|Thriller|Romance|Horror,mobile,True,
U0114,user114@example.com,reader_0114,PL,2021-10-08,1977,History|Self-Help|Thriller|Fiction,tablet,True,
U0115,user115@example.com,reader_0115,JP,2022-01-01,1972,Fantasy,tablet,True,
U0116,user116@example.com,reader_0116,IN,2022-06-13,1996,Biography|Fantasy|Sci-Fi|Romance,tablet,True,
U0117,user117@example.com,reader_0117,GB,2024-06-20,1992,Biography,desktop,True,
U0118,user118@example.com,reader_0118,BR,2023-01-22,1983,Mystery,tablet,True,
U0119,user119@example.com,reader_0119,US,2022-07-02,1987,Sci-Fi|Self-Help|Fantasy|Romance,e-reader,True,
U0120,user120@example.com,reader_0120,MX,2021-07-16,2005,Mystery,e-reader,True,
U0121,user121@example.com,reader_0121,NL,2022-01-14,2003,Fiction|Sci-Fi,e-reader,True,
U0122,user122@example.com,reader_0122,CA,2020-03-12,2001,Fantasy|Horror,mobile,True,
U0123,user123@example.com,reader_0123,GB,2023-05-24,2001,Fantasy|Horror|Self-Help|Biography,desktop,True,
U0124,user124@example.com,reader_0124,US,2022-12-20,1976,Thriller|Romance|Mystery,e-reader,True,
U0125,user125@example.com,reader_0125,PL,2022-11-26,1981,Thriller,e-reader,True,
U0126,user126@example.com,reader_0126,DE,2021-03-15,1969,Self-Help|Romance|Mystery,e-reader,True,
U0127,user127@example.com,reader_0127,GB,2020-12-19,2000,Mystery|Fantasy|History|Self-Help,tablet,True,
U0128,user128@example.com,reader_0128,IT,2024-12-30,1979,Sci-Fi|Fantasy,mobile,True,
U0129,user129@example.com,reader_0129,BR,2021-02-15,2000,Self-Help|Fiction,tablet,True,
U0130,user130@example.com,reader_0130,GB,2022-08-15,1984,Horror|Mystery,e-reader,True,
U0131,user131@example.com,reader_0131,MX,2024-01-08,1969,Biography|Mystery|Sci-Fi|Self-Help,e-reader,True,
U0132,user132@example.com,reader_0132,PL,2022-08-12,1973,Sci-Fi|History|Horror,e-reader,True,
U0133,user133@example.com,reader_0133,IT,2022-10-26,1974,Mystery,tablet,True,
U0134,user134@example.com,reader_0134,SE,2020-12-03,1983,Fantasy|History,mobile,True,
U0135,user135@example.com,reader_0135,IT,2021-05-28,1975,Sci-Fi|Thriller|Mystery,desktop,True,
U0136,user136@example.com,reader_0136,GB,2020-12-16,1967,Horror|Fiction|History,tablet,True,
U0137,user137@example.com,reader_0137,IT,2023-08-26,1983,Horror|Fiction|Self-Help|Fantasy,tablet,True,
U0138,user138@example.com,reader_0138,US,2022-09-16,1975,Thriller|Self-Help|Mystery|Fantasy,e-reader,True,
U0139,user139@example.com,reader_0139,BR,2022-05-01,1985,Fantasy|Sci-Fi,tablet,True,
U0140,user140@example.com,reader_0140,BR,2022-03-27,1980,History|Horror|Mystery,e-reader,True,
U0141,user141@example.com,reader_0141,US,2020-09-07,1983,Sci-Fi|Mystery,e-reader,True,
U0142,user142@example.com,reader_0142,SE,2024-11-04,2001,Sci-Fi|Fantasy,tablet,True,
U0143,user143@example.com,reader_0143,AU,2021-01-23,1966,History|Self-Help|Horror|Sci-Fi,mobile,True,
U0144,user144@example.com,reader_0144,US,2022-03-16,1968,Romance|Fantasy,tablet,True,
U0145,user145@example.com,reader_0145,GB,2022-10-10,1992,Thriller|History|Fiction|Biography,desktop,True,
U0146,user146@example.com,reader_0146,CA,2024-12-12,1968,Biography|Fantasy|Fiction,desktop,True,
U0147,user147@example.com,reader_0147,IT,2022-01-12,1993,Biography,tablet,True,
U0148,user148@example.com,reader_0148,GB,2024-08-17,1990,Sci-Fi,tablet,True,
U0149,user149@example.com,reader_0149,IT,2024-06-15,1967,Sci-Fi|Romance|Biography,mobile,True,
U0150,user150@example.com,reader_0150,DE,2020-03-20,2003,Self-Help|History|Horror,desktop,True,
U0151,user151@example.com,reader_0151,ES,2021-11-02,1986,Sci-Fi|Biography|Thriller,e-reader,True,
U0152,user152@example.com,reader_0152,GB,2023-12-22,1991,Fiction|Fantasy|History|Self-Help,tablet,True,
U0153,user153@example.com,reader_0153,AU,2024-06-19,1981,Horror,desktop,True,
U0154,user154@example.com,reader_0154,DE,2024-01-17,1980,History|Biography,mobile,False,2024-10-18
U0155,user155@example.com,reader_0155,US,2023-03-18,1993,Romance,tablet,True,
U0156,user156@example.com,reader_0156,PL,2022-05-07,2004,Biography|History,e-reader,True,
U0157,user157@example.com,reader_0157,IT,2024-11-22,1978,Sci-Fi,tablet,True,
U0158,user158@example.com,reader_0158,BR,2023-09-18,1999,Fantasy|Sci-Fi|Self-Help|Thriller,tablet,True,
U0159,user159@example.com,reader_0159,FR,2023-10-16,1982,Horror|Self-Help|Romance,tablet,True,
U0160,user160@example.com,reader_0160,BR,2021-04-05,1995,Thriller|Romance|Self-Help,tablet,True,
U0161,user161@example.com,reader_0161,SE,2023-02-21,1990,Thriller|Mystery|Biography,tablet,True,
U0162,user162@example.com,reader_0162,BR,2024-05-02,1993,Fiction|Thriller|Mystery,tablet,True,
U0163,user163@example.com,reader_0163,SE,2024-03-10,2000,History|Thriller,tablet,True,
U0164,user164@example.com,reader_0164,MX,2020-10-08,1998,Romance|Fiction,desktop,True,
U0165,user165@example.com,reader_0165,BR,2023-07-30,1995,Biography,mobile,True,
U0166,user166@example.com,reader_0166,SE,2023-10-27,1975,History,e-reader,True,
U0167,user167@example.com,reader_0167,JP,2023-08-30,1968,Self-Help|Romance|Thriller|Sci-Fi,mobile,True,
U0168,user168@example.com,reader_0168,CA,2023-08-28,1976,Sci-Fi,mobile,True,
U0169,user169@example.com,reader_0169,JP,2024-09-08,2001,Sci-Fi|Thriller|Fiction|Self-Help,mobile,True,
U0170,user170@example.com,reader_0170,FR,2021-11-17,1972,Sci-Fi|History|Self-Help|Horror,tablet,True,
U0171,user171@example.com,reader_0171,PL,2020-11-28,1983,Sci-Fi|Fiction|Fantasy,desktop,True,
U0172,user172@example.com,reader_0172,CA,2020-12-25,1971,Biography|History|Fantasy|Fiction,desktop,True,
U0173,user173@example.com,reader_0173,CA,2020-10-14,1980,Fiction|Thriller,e-reader,True,
U0174,user174@example.com,reader_0174,MX,2024-03-23,1988,Thriller|Fiction|Horror,desktop,True,
U0175,user175@example.com,reader_0175,IT,2020-05-07,1984,Thriller|Sci-Fi|Biography|Fantasy,mobile,True,
U0176,user176@example.com,reader_0176,DE,2023-08-01,1995,Fantasy|Romance|History,desktop,True,
U0177,user177@example.com,reader_0177,PL,2022-07-20,1999,Biography|History|Self-Help,desktop,True,
U0178,user178@example.com,reader_0178,AU,2024-04-09,1998,History,tablet,True,
U0179,user179@example.com,reader_0179,NL,2020-06-08,2000,Fiction,desktop,True,
U0180,user180@example.com,reader_0180,AU,2023-03-18,1972,Fantasy|History,desktop,True,
U0181,user181@example.com,reader_0181,AU,2024-01-08,1968,History,e-reader,True,
U0182,user182@example.com,reader_0182,PL,2020-09-27,1984,Horror|Fiction|Self-Help|Fantasy,mobile,True,
U0183,user183@example.com,reader_0183,ES,2022-03-21,1969,Romance,mobile,True,
U0184,user184@example.com,reader_0184,US,2022-05-17,1969,History,e-reader,True,
U0185,user185@example.com,reader_0185,BR,2020-03-05,1989,Sci-Fi|Biography,e-reader,True,
U0186,user186@example.com,reader_0186,NL,2024-11-15,1987,Biography|Mystery|Sci-Fi|Fantasy,mobile,True,
U0187,user187@example.com,reader_0187,US,2020-12-31,1966,History|Sci-Fi|Romance|Biography,tablet,True,
U0188,user188@example.com,reader_0188,AU,2022-08-06,1987,History|Biography|Romance|Mystery,desktop,True,
U0189,user189@example.com,reader_0189,PL,2021-07-18,1991,Fiction,mobile,True,
U0190,user190@example.com,reader_0190,US,2021-05-07,1993,Horror,mobile,True,
U0191,user191@example.com,reader_0191,NL,2021-05-16,1968,Self-Help|Romance|History|Biography,desktop,True,
U0192,user192@example.com,reader_0192,ES,2022-10-28,2003,Horror|Fantasy,tablet,True,
U0193,user193@example.com,reader_0193,CA,2021-04-30,1984,History|Romance,tablet,True,
U0194,user194@example.com,reader_0194,AU,2020-05-04,1968,Biography|History,tablet,True,
U0195,user195@example.com,reader_0195,JP,2023-08-10,1989,Biography|Horror|Sci-Fi,desktop,True,
U0196,user196@example.com,reader_0196,NL,2024-03-25,1974,Romance|Thriller,e-reader,True,
U0197,user197@example.com,reader_0197,FR,2025-02-16,1981,History|Horror|Sci-Fi|Romance,desktop,False,2025-04-13
U0198,user198@example.com,reader_0198,JP,2021-11-07,1989,Fantasy|Mystery|Romance|Fiction,mobile,True,
U0199,user199@example.com,reader_0199,FR,2024-11-24,1977,Romance|Fantasy|Thriller|Fiction,mobile,False,2025-02-17
U0200,user200@example.com,reader_0200,IT,2024-03-09,1985,Romance|Horror|Biography|Mystery,tablet,True,
